id,Turno Carga,equipo_acarreo,operador_acarreo,material,flota_carguio,equipo_carguio,duracion_llegada,duracion_acarreo,duracion_descarga,duracion_viajando_vacio,tonelaje,efh_cargado_km,efh_vacio_km,distancia_cargado_km,distancia_vacia_km,velocidad_cargado,velocidad_vacio
1139620,B,Equipo_acarreo 13,Operador 13,Mineral Óxido,Flota_carguio 2,Equipo_carguio 5,2,744,46,622.8000000000001,297.0,6.2,6.23,3.94,5.21,18.86,32.98
1139622,B,Equipo_acarreo 10,Operador 3,Desmonte,Flota_carguio 2,Equipo_carguio 3,5,774,32,379.2000000000001,290.0,6.45,3.79,3.43,3.27,15.77,32.54
1139623,B,Equipo_acarreo 24,Operador 19,Desmonte,Flota_carguio 2,Equipo_carguio 2,4,222,34,255.0,278.0,1.85,2.55,1.95,1.88,31.71,30.46
1139625,B,Equipo_acarreo 16,Operador 4,Mineral Óxido,Flota_carguio 2,Equipo_carguio 5,52,754,30,412.8,277.0,6.28,4.13,3.74,3.72,18.07,32.96
1139626,B,Equipo_acarreo 12,Operador 26,Desmonte,Flota_carguio 2,Equipo_carguio 3,8,720,38,396.0,274.0,6.0,3.96,3.4,3.56,16.82,33.04
1139627,B,Equipo_acarreo 17,Operador 17,Mineral Sulfuro,Flota_carguio 1,Equipo_carguio 4,19,908,40,324.0,292.0,7.57,3.24,3.47,3.15,13.72,34.84
1139628,B,Equipo_acarreo 21,Operador 23,Mineral Óxido,Flota_carguio 2,Equipo_carguio 2,1,216,44,204.0,289.0,1.8,2.04,1.97,1.89,32.85,33.38
1139629,B,Equipo_acarreo 9,Operador 130,Desmonte,Flota_carguio 2,Equipo_carguio 3,5,733,36,414.0,277.0,6.12,4.14,3.4,3.89,16.73,33.53
1139630,B,Equipo_acarreo 1,Operador 9,Desmonte,Flota_carguio 2,Equipo_carguio 5,36,810,30,364.2000000000001,290.0,6.75,3.64,3.52,3.27,15.54,32.32
1139631,B,Equipo_acarreo 3,Operador 28,Desmonte,Flota_carguio 2,Equipo_carguio 3,79,774,40,360.0,288.0,6.45,3.6,3.41,3.35,15.72,33.47
1139632,B,Equipo_acarreo 26,Operador 132,Desmonte,Flota_carguio 2,Equipo_carguio 2,6,202,36,240.0,287.0,1.68,2.4,1.95,1.98,34.73,29.79
1139633,B,Equipo_acarreo 20,Operador 20,Mineral Óxido,Flota_carguio 1,Equipo_carguio 1,0,310,48,240.0,287.0,2.58,2.4,1.86,1.91,21.58,29.21
1139634,B,Equipo_acarreo 23,Operador 31,Desmonte,Flota_carguio 2,Equipo_carguio 5,26,824,30,366.0,304.0,6.87,3.66,3.42,3.27,14.8,33.25
1139636,B,Equipo_acarreo 7,Operador 7,Desmonte,Flota_carguio 2,Equipo_carguio 3,21,716,50,526.8,279.0,5.97,5.27,3.38,3.28,16.81,29.85
1139637,B,Equipo_acarreo 24,Operador 19,Desmonte,Flota_carguio 2,Equipo_carguio 2,52,217,36,174.0,287.0,1.81,1.74,1.96,1.89,32.29,40.81
1139639,B,Equipo_acarreo 18,Operador 1,Desmonte,Flota_carguio 2,Equipo_carguio 5,21,708,40,390.0,260.0,5.91,3.9,3.39,3.25,17.12,30.1
1139640,B,Equipo_acarreo 2,Operador 10,Mineral Sulfuro,Flota_carguio 1,Equipo_carguio 4,28,962,40,397.8,300.0,8.02,3.98,3.48,3.52,12.9,27.24
1139641,B,Equipo_acarreo 6,Operador 6,Desmonte,Flota_carguio 3,Equipo_carguio 7,374,274,32,186.0,291.0,2.28,1.86,1.52,1.39,19.97,26.86
1139642,B,Equipo_acarreo 21,Operador 23,Desmonte,Flota_carguio 2,Equipo_carguio 2,152,234,38,198.0,272.0,1.95,1.98,1.97,1.95,30.25,35.56
1139643,B,Equipo_acarreo 4,Operador 104,Mineral Óxido,Flota_carguio 2,Equipo_carguio 5,36,856,48,733.8000000000001,297.0,7.13,7.34,3.92,5.28,16.46,27.46
1139644,B,Equipo_acarreo 26,Operador 132,Desmonte,Flota_carguio 2,Equipo_carguio 2,6,198,28,186.0,293.0,1.65,1.86,1.97,1.96,35.89,37.79
1139645,B,Equipo_acarreo 5,Operador 5,Desmonte,Flota_carguio 3,Equipo_carguio 7,324,272,36,181.8,285.0,2.27,1.82,1.56,1.37,20.71,27.42
1139646,B,Equipo_acarreo 20,Operador 20,Mineral Óxido,Flota_carguio 1,Equipo_carguio 1,0,294,34,319.8,285.0,2.45,3.2,1.86,2.97,22.58,33.57
1139647,B,Equipo_acarreo 10,Operador 3,Desmonte,Flota_carguio 2,Equipo_carguio 3,8,778,40,378.0,294.0,6.48,3.78,3.4,3.55,15.55,33.57
1139648,B,Equipo_acarreo 25,Operador 2,Mineral Sulfuro,Flota_carguio 1,Equipo_carguio 6,0,106,48,114.0,271.0,0.88,1.14,0.62,0.54,20.27,19.51
1139649,B,Equipo_acarreo 12,Operador 26,Mineral Óxido,Flota_carguio 2,Equipo_carguio 5,8,742,46,807.0,276.0,6.18,8.07,3.89,3.73,18.61,28.88
